('https://dosya.org/6iU', '\t', '2022-08-02 20-31-27.mp4 - Dosya Yükle, Dosya Upload')
('https://dosya.org/3şö', '\t', 'storage.dat - Dosya Yükle, Dosya Upload')
('https://dosya.org/6m0', '\t', 'efrahdesignP7B-sarı.tga - Dosya Yükle, Dosya Upload')
('https://dosya.org/8şu', '\t', 'Yemeksepeti ZYL.exe - Dosya Yükle, Dosya Upload')
('https://dosya.org/63G', '\t', 'Yeni klasör.rar - Dosya Yükle, Dosya Upload')
('https://dosya.org/6Jc', '\t', 'sonoyuncu.rar - Dosya Yükle, Dosya Upload')
('https://dosya.org/8ş9', '\t', 'IMG-20220508-WA0002.jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/3u7', '\t', 'natas .rar - Dosya Yükle, Dosya Upload')
('https://dosya.org/6Bj', '\t', 'Passwords.txt - Dosya Yükle, Dosya Upload')
('https://dosya.org/6Pa', '\t', 'wp7930763.jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/8oa', '\t', 'IMG_20220720_155232.jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/6Ci', '\t', 'a_CATUSSE_Package_VisualOptimisation_NG.rpf - Dosya Yükle, Dosya Upload')
('https://dosya.org/3ZL', '\t', 'vehicles.json - Dosya Yükle, Dosya Upload')
('https://dosya.org/3TO', '\t', 'Village.dat - Dosya Yükle, Dosya Upload')
('https://dosya.org/6po', '\t', 'raids_end.dat - Dosya Yükle, Dosya Upload')
('https://dosya.org/6v4', '\t', 'mstf.mp4 - Dosya Yükle, Dosya Upload')
('https://dosya.org/6fR', '\t', 'IMG_3297.JPG - Dosya Yükle, Dosya Upload')
('https://dosya.org/6uv', '\t', 'C5978FDB-88B3-4E1D-AF13-0DCF1F59A36C.jpeg - Dosya Yükle, Dosya Upload')
('https://dosya.org/6gK', '\t', 'yeni.rar - Dosya Yükle, Dosya Upload')
('https://dosya.org/6hP', '\t', 'IMG-20220602-WA0017.jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/943', '\t', 'install.htm - Dosya Yükle, Dosya Upload')
('https://dosya.org/3ü7', '\t', 'natas .rar - Dosya Yükle, Dosya Upload')
('https://dosya.org/Bzb', '\t', 'efrahdesignP7MR-beyaz.tga - Dosya Yükle, Dosya Upload')
('https://dosya.org/8Y6', '\t', '104485141_2855824567877546_581741737680579322_n.jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/6bB', '\t', 'Passwords.txt - Dosya Yükle, Dosya Upload')
('https://dosya.org/69V', '\t', 'bandicam 2022-05-21 16-11-51-840 - Kopya.jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/6üi', '\t', 'Openbullet 1.4.4 Anomaly Modded Version.rar - Dosya Yükle, Dosya Upload')
('https://dosya.org/6Pi', '\t', 'Website Auto Traffic Generator Ultimate v7.4 Full Activated - WwW.Dr-FarFar.CoM.zip - Dosya Yükle, Dosya Upload')
('https://dosya.org/bYF', '\t', 'client.lua - Dosya Yükle, Dosya Upload')
('https://dosya.org/6dY', '\t', 'Premium yüksek kalite yuvarlak gold rozet (1).png - Dosya Yükle, Dosya Upload')
('https://dosya.org/90U', '\t', 'index.html - Dosya Yükle, Dosya Upload')
('https://dosya.org/8UA', '\t', 'A4D1A4B5-826C-439E-B93B-E4B63E825119.jpeg - Dosya Yükle, Dosya Upload')
('https://dosya.org/6no', '\t', 'insta foto 1.jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/bYU', '\t', 'efrahdesignP7AR-beyaz.tga - Dosya Yükle, Dosya Upload')
('https://dosya.org/6üN', '\t', '25EE0FFD-FDDD-4984-BD45-E9E84B21A489.jpeg - Dosya Yükle, Dosya Upload')
('https://dosya.org/6RF', '\t', 'VN20220815_223903.mp4 - Dosya Yükle, Dosya Upload')
('https://dosya.org/3uc', '\t', 'keygen.jar - Dosya Yükle, Dosya Upload')
('https://dosya.org/6Ob', '\t', 'auth.txt - Dosya Yükle, Dosya Upload')
('https://dosya.org/6U9', '\t', 'R20210518-073020.WAV - Dosya Yükle, Dosya Upload')
('https://dosya.org/6pc', '\t', 'SpotifyHesaplar.txt - Dosya Yükle, Dosya Upload')
('https://dosya.org/3ZH', '\t', 'sirius.lua.example - Dosya Yükle, Dosya Upload')
('https://dosya.org/96f', '\t', 'İnstagram Bayan Takipçi Satın Al.docx - Dosya Yükle, Dosya Upload')
('https://dosya.org/6AF', '\t', 'Discord.exe - Dosya Yükle, Dosya Upload')
('https://dosya.org/6vl', '\t', '1661611935263klvijcjb - Dosya Yükle, Dosya Upload')
('https://dosya.org/3ts', '\t', 'r.-1.-1.mca - Dosya Yükle, Dosya Upload')
('https://dosya.org/BAt', '\t', 'VID-l4essqa5.mp4 - Dosya Yükle, Dosya Upload')
('https://dosya.org/6rU', '\t', '20220820_015802.mp4 - Dosya Yükle, Dosya Upload')
('https://dosya.org/3Y7', '\t', 'RemoteCamera.dll - Dosya Yükle, Dosya Upload')
('https://dosya.org/3Ur', '\t', '167K COMBOLIST INDIA FRESH BY LORD ALI.txt - Dosya Yükle, Dosya Upload')
('https://dosya.org/6kT', '\t', 'acqua.png - Dosya Yükle, Dosya Upload')
('https://dosya.org/8s3', '\t', '1.12.2.json - Dosya Yükle, Dosya Upload')
('https://dosya.org/3vo', '\t', 'DSC_0328.jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/6GZ', '\t', 'proglamlama1.pdf - Dosya Yükle, Dosya Upload')
('https://dosya.org/6dm', '\t', '8_live_beyhan_bye_export.tar - Dosya Yükle, Dosya Upload')
('https://dosya.org/8OT', '\t', 'gri bej sarı modern gold altın şık modern araba takı şirket firma küçük işletme logo (1).png - Dosya Yükle, Dosya Upload')
('https://dosya.org/6IZ', '\t', 'fun21turkiye .jpg - Dosya Yükle, Dosya Upload')
('https://dosya.org/6JK', '\t', 'IMG_8135.MOV - Dosya Yükle, Dosya Upload')
('https://dosya.org/3uU', '\t', '65928004_TLPFRM00_2022_30191925_1_2_1.pdf - Dosya Yükle, Dosya Upload')
